Cell_line	Cancer_type	Tissue_type	SIDM	growth_properties	MSI_status	methylation_data	expression_data	cnv_data	crispr_ko_data	fusion_data	drug_data	cancer_type_detail	sample_site	gender	ethnicity	smoking_status	BROAD_ID	COSMIC_ID	CCLE_ID
SNU-5	Gastric Carcinoma	Stomach	SIDM01144	Suspension	MSS	True	True	True	False	True	True	Gastric Carcinoma	Ascites	Female	East Asian	Unknown	ACH-000303	908445	SNU5_STOMACH
HT	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00661	Suspension	MSI	True	True	True	False	True	True	Diffuse Large B-Cell Lymphoma	Ascites	Male	White	Unknown	ACH-000914	907063	HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HOP-92	Non-Small Cell Lung Carcinoma	Lung	SIDM00134	Unknown	MSS	True	True	True	False	True	True	Non-Small Cell Lung Carcinoma	Unknown	Unknown	Unknown	Unknown	ACH-000825	905973	HOP92_LUNG
KNS-81-FD	Glioblastoma	Central Nervous System	SIDM01210	Unknown	MSS	True	True	True	False	True	True	Glioblastoma	Unknown	Male	Unknown	Unknown	ACH-002259	924188	KNS81FD_CENTRAL_NERVOUS_SYSTEM
NCI-H596	Other Solid Carcinomas	Lung	SIDM01127	Adherent	MSS	True	True	True	False	True	True	Adenosquamous Lung Carcinoma	Chest wall	Male	White	Unknown	ACH-000628	908459	NCIH596_LUNG
KYSE-140	Esophageal Squamous Cell Carcinoma	Esophagus	SIDM01032	Adherent	MSS	True	True	True	True	True	True	Esophageal Squamous Cell Carcinoma	Middle intrathoracic oesophagus	Male	East Asian	Unknown	ACH-000823	753573	KYSE140_OESOPHAGUS
EKVX	Non-Small Cell Lung Carcinoma	Lung	SIDM00119	Adherent	MSS	True	True	True	False	True	True	Non-Small Cell Lung Carcinoma	Unknown	Male	Unknown	Unknown	ACH-000706	905970	EKVX_LUNG
BEN	Non-Small Cell Lung Carcinoma	Lung	SIDM00990	Adherent	MSS	True	True	True	False	True	True	Non-Small Cell Lung Carcinoma	Supraclavicular lymph node	Male	Unknown	Unknown	ACH-000603	753534	BEN_LUNG
JEKO-1	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM01038	Suspension	MSS	True	True	True	False	True	True	Mantle Cell Lymphoma	Peripheral Blood	Female	Unknown	Unknown	ACH-000357	1327765	JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
CTB-1	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00283	Suspension	MSS	True	True	True	False	True	True	Diffuse Large B-Cell Lymphoma	Unknown	Male	East Asian	Unknown	ACH-002221	949088	CTB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ChaGo-K-1	Other Solid Carcinomas	Lung	SIDM00924	Adherent	MSS	True	True	True	False	True	True	Bronchogenic Carcinoma	Bronchus	Male	Unknown	Unknown	ACH-000867	687596	CHAGOK1_LUNG
NB69	Neuroblastoma	Peripheral Nervous System	SIDM00244	Adherent	MSS	True	True	True	True	True	True	Neuroblastoma	Unknown	Male	Unknown	Unknown	ACH-002083	908440	NB69_AUTONOMIC_GANGLIA
PWR-1E	Non-Cancerous	Prostate	SIDM01114	Adherent	MSS	True	True	True	False	True	True	Non-Cancerous	Prostate	Male	White	Unknown	ACH-001383	1330993	PWR1E_PROSTATE
NCI-H520	Squamous Cell Lung Carcinoma	Lung	SIDM01130	Adherent	MSS	True	True	True	True	True	True	Squamous Cell Lung Carcinoma	Lung 	Male	Unknown	Unknown	ACH-000395	908443	NCIH520_LUNG
SUP-B15	B-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM01176	Suspension	MSS	True	True	True	False	True	True	Childhood Precursor B Lymphoblastic Leukemia	Bone marrow	Male	White	Unknown	ACH-000059	1247871	SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
OVCAR-8	Ovarian Carcinoma	Ovary	SIDM00090	Unknown	MSS	True	True	True	True	True	True	High Grade Ovarian Serous Adenocarcinoma	Unknown	Female	Unknown	Unknown	ACH-000696	905991	OVCAR8_OVARY
LNCaP-Clone-FGC	Prostate Carcinoma	Prostate	SIDM00683	Semi-Adherent	MSI	True	True	True	True	True	True	Prostate Carcinoma	Left supraclavicular lymph node	Male	White	Unknown	ACH-000977	907788	LNCAPCLONEFGC_PROSTATE
EBC-1	Squamous Cell Lung Carcinoma	Lung	SIDM00486	Unknown	MSS	True	True	True	True	True	True	Squamous Cell Lung Carcinoma	Unknown	Male	Unknown	Unknown	ACH-000563	753554	EBC1_LUNG
JEG-3	Other Solid Carcinomas	Placenta	SIDM01218	Adherent	MSS	True	True	True	False	True	True	Gestational Choriocarcinoma	Placenta	Male	Unknown	Unknown	ACH-001530	907176	JEG3_PLACENTA
SBC-1	Small Cell Lung Carcinoma	Lung	SIDM00365	Unknown	MSS	True	True	True	False	True	True	Small Cell Lung Carcinoma	Unknown	Unknown	Unknown	Unknown	ACH-002196	713885	SBC1_LUNG
D-502MG	Glioblastoma	Central Nervous System	SIDM00208	Unknown	MSS	True	True	True	True	True	True	Glioblastoma	Unknown	Unknown	Unknown	Unknown	ACH-002229	946373	D502MG_CENTRAL_NERVOUS_SYSTEM
OVTOKO	Ovarian Carcinoma	Ovary	SIDM00425	Unknown	MSS	True	True	True	False	True	True	Ovarian Clear Cell Adenocarcinoma	Spleen	Female	East Asian	Unknown	ACH-000663	1298365	OVTOKO_OVARY
HT-144	Melanoma	Skin	SIDM00695	Adherent	MSS	True	True	True	False	True	True	Melanoma	Subcutaneous tissue	Male	White	Unknown	ACH-000322	907067	HT144_SKIN
CAL-29	Bladder Carcinoma	Bladder	SIDM00936	Adherent	MSS	True	True	True	False	True	True	Bladder Carcinoma	Urinary Bladder	Female	Unknown	Unknown	ACH-000142	1290730	CAL29_URINARY_TRACT
NCI-H1623	Non-Small Cell Lung Carcinoma	Lung	SIDM00747	Semi-Adherent	MSS	True	True	True	False	True	True	Lung Adenocarcinoma	Lymph node	Male	White	Unknown	ACH-000744	687798	NCIH1623_LUNG
BT-474	Breast Carcinoma	Breast	SIDM00963	Adherent	MSS	True	True	True	False	True	True	Invasive Ductal Carcinoma not Otherwise Specified	Unknown	Female	Unknown	Unknown	ACH-000927	946359	BT474_BREAST
RL	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM01089	Suspension	MSS	True	True	True	False	True	True	Diffuse Large B-Cell Lymphoma	Ascites	Male	White	Unknown	ACH-000371	910861	RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NCI-H1793	Non-Small Cell Lung Carcinoma	Lung	SIDM00755	Adherent	MSS	True	True	True	False	True	True	Lung Adenocarcinoma	Unknown	Female	Unknown	Unknown	ACH-000888	908463	NCIH1793_LUNG
KMRC-20	Kidney Carcinoma	Kidney	SIDM00609	Adherent	MSS	True	True	True	False	True	True	Clear Cell Renal Cell Carcinoma	Kidney	Unknown	East Asian	Unknown	ACH-000250	1298169	KMRC20_KIDNEY
CAL-27	Oral Cavity Carcinoma	Head and Neck	SIDM00937	Adherent	MSS	True	True	True	True	False	True	Tongue Squamous Cell Carcinoma	Tongue	Male	Unknown	Unknown	ACH-000832	910916	CAL27_UPPER_AERODIGESTIVE_TRACT
KG-1	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00785	Suspension	MSS	True	True	True	False	True	True	Adult Acute Myeloid Leukemia	Bone marrow	Male	White	Unknown	ACH-000386	907278	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
TK	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00323	Unknown	MSS	True	True	True	False	True	True	B-Cell Non-Hodgkin's Lymphoma	Peripheral blood	Female	Unknown	Unknown	ACH-002313	1331045	TK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
BHT-101	Thyroid Gland Carcinoma	Thyroid	SIDM00987	Adherent	MSS	True	True	True	False	True	True	Anaplastic Thyroid Carcinoma	Lymph node	Female	Unknown	Unknown	ACH-000191	906696	BHT101_THYROID
G-401	Other Solid Carcinomas	Kidney	SIDM00856	Adherent	MSS	True	True	True	False	False	True	Rhabdoid Tumour of the Kidney	Kidney	Male	White	Unknown	ACH-000096	907299	G401_SOFT_TISSUE
NCI-H2122	Non-Small Cell Lung Carcinoma	Lung	SIDM00702	Adherent	MSS	True	True	True	False	True	True	Lung Adenocarcinoma	Pleural effusion	Female	White	Unknown	ACH-000311	722046	NCIH2122_LUNG
LXF-289	Non-Small Cell Lung Carcinoma	Lung	SIDM00339	Adherent	MSS	True	True	True	True	True	True	Lung Adenocarcinoma	Unknown	Male	Unknown	Unknown	ACH-000787	753592	LXF289_LUNG
OSC-19	Oral Cavity Carcinoma	Head and Neck	SIDM00566	Unknown	MSS	True	True	True	True	True	True	Tongue Squamous Cell Carcinoma	Lymph Node	Male	East Asian	Unknown	ACH-001625	1298362	OSC19_UPPER_AERODIGESTIVE_TRACT
AN3-CA	Endometrial Carcinoma	Endometrium	SIDM00901	Adherent	MSI	True	True	True	False	True	True	Endometrial Adenocarcinoma	Endometrium	Female	White	Unknown	ACH-000940	910781	AN3CA_ENDOMETRIUM
SBC-5	Small Cell Lung Carcinoma	Lung	SIDM00368	Unknown	MSS	True	True	True	False	True	True	Small Cell Lung Carcinoma	Unknown	Unknown	Unknown	Unknown	ACH-000670	713880	SBC5_LUNG
MM1S	Plasma Cell Myeloma	Haematopoietic and Lymphoid	SIDM01265	Semi-Adherent	MSS	True	True	True	False	False	True	Plasma Cell Myeloma	Peripheral Blood	Female	Black	Unknown	ACH-000763	1659818	MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NCI-H1963	Small Cell Lung Carcinoma	Lung	SIDM00760	Suspension	MSS	True	True	True	False	True	True	Small Cell Lung Carcinoma	Unknown	Male	Black	Unknown	ACH-000729	688010	NCIH1963_LUNG
KASUMI-1	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM01005	Suspension	MSS	True	True	True	False	True	True	Childhood Acute Myeloid Leukemia with Maturation	Peripheral blood	Male	East Asian	Unknown	ACH-000263	907275	KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HCC-15	Squamous Cell Lung Carcinoma	Lung	SIDM01072	Adherent	MSS	True	True	True	True	True	True	Squamous Cell Lung Carcinoma	Unknown	Male	Unknown	Unknown	ACH-000878	1240143	HCC15_LUNG
COR-L311	Small Cell Lung Carcinoma	Lung	SIDM00509	Suspension	MSS	True	True	True	False	True	True	Small Cell Lung Carcinoma	Unknown	Male	Unknown	Unknown	ACH-000187	687980	CORL311_LUNG
WM793B	Melanoma	Skin	SIDM00973	Adherent	MSS	True	True	True	False	True	True	Melanoma	Unknown	Male	Unknown	Unknown	ACH-000827	1299081	WM793_SKIN
A204	Rhabdomyosarcoma	Soft Tissue	SIDM00798	Adherent	MSS	True	True	True	False	True	True	Embryonal Rhabdomyosarcoma	Muscle	Female	Unknown	Unknown	ACH-000201	910784	A204_SOFT_TISSUE
HN	Oral Cavity Carcinoma	Head and Neck	SIDM01061	Adherent	MSS	True	True	True	False	True	True	Oral Cavity Squamous Cell Carcinoma	Cervical lymph node	Male	East Asian	Unknown	ACH-001090	907059	HN_UPPER_AERODIGESTIVE_TRACT
OV-56	Ovarian Carcinoma	Ovary	SIDM00475	Adherent	MSS	True	True	True	False	False	True	Ovarian Serous Adenocarcinoma	Ascites	Female	Unknown	Unknown	ACH-000091	1480362	OV56_OVARY
NCI-H2030	Non-Small Cell Lung Carcinoma	Lung	SIDM00715	Adherent	MSS	True	True	True	False	True	True	Lung Adenocarcinoma	Lymph node	Male	Unknown	Unknown	ACH-000521	722045	NCIH2030_LUNG
CAKI-1	Kidney Carcinoma	Kidney	SIDM00941	Adherent	MSS	True	True	True	False	True	True	Clear Cell Renal Cell Carcinoma	Unknown	Male	White	Unknown	ACH-000433	905963	CAKI1_KIDNEY
MC116	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00637	Suspension	MSS	True	True	True	False	True	True	B-Cell Non-Hodgkin's Lymphoma	Ascites	Male	Unknown	Unknown	ACH-000583	907799	MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NB4	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00428	Suspension	MSS	True	True	True	False	True	True	Acute Promyelocytic Leukemia	Bone marrow	Female	Unknown	Unknown	ACH-000294	1323913	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SK-MES-1	Squamous Cell Lung Carcinoma	Lung	SIDM01103	Adherent	MSS	True	True	True	True	True	True	Squamous Cell Lung Carcinoma	Pleural effusion	Male	White	Unknown	ACH-000665	909728	SKMES1_LUNG
JM1	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00689	Suspension	MSS	True	True	True	False	True	True	Precursor T Lymphoblastic Leukemia	Unknown	Unknown	Unknown	Unknown	ACH-000151	1327768	JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
RCC-AB	Kidney Carcinoma	Kidney	SIDM00821	Adherent	MSS	True	True	True	False	True	True	Clear Cell Renal Cell Carcinoma	Unknown	Unknown	Unknown	Unknown	ACH-002187	1524418	RCCAB_KIDNEY
SF295	Glioblastoma	Central Nervous System	SIDM00084	Unknown	MSS	True	True	True	True	True	True	Glioblastoma	Unknown	Female	Unknown	Unknown	ACH-000376	905985	SF295_CENTRAL_NERVOUS_SYSTEM
MY-M12	Other Blood Carcinomas	Haematopoietic and Lymphoid	SIDM01217	Suspension	MSS	True	True	True	False	True	True	Acute Biphenotypic Leukemia	Peripheral blood	Female	East Asian	Unknown	ACH-002276	1330960	MYM12_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KOSC-2	Head and Neck Carcinoma	Head and Neck	SIDM00603	Unknown	MSS	True	True	True	False	True	True	Head and Neck Squamous Cell Carcinoma	Unknown	Male	Unknown	Unknown	ACH-002260	753570	KOSC2_UPPER_AERODIGESTIVE_TRACT
NCI-H378	Small Cell Lung Carcinoma	Lung	SIDM00915	Suspension	MSS	True	True	True	False	True	True	Small Cell Lung Carcinoma	Pleural effusion	Female	White	Unknown	ACH-002173	688022	NCIH378_LUNG
SW156	Kidney Carcinoma	Kidney	SIDM01162	Adherent	MSS	True	True	False	False	True	True	Renal Cell Carcinoma	Unknown	Male	White	Unknown	ACH-001398	1240220	SW156_KIDNEY
KMH-2	Thyroid Gland Carcinoma	Thyroid	SIDM00619	Unknown	MSS	True	True	True	False	True	True	Anaplastic Thyroid Carcinoma	Thyroid	Male	East Asian	Unknown		1298167	
KON	Oral Cavity Carcinoma	Head and Neck	SIDM00604	Adherent	MSS	True	True	True	True	True	True	Oral Cavity Squamous Cell Carcinoma	Oral floor	Male	East Asian	Unknown	ACH-001542	1298215	KON_UPPER_AERODIGESTIVE_TRACT
NCI-H1838	Non-Small Cell Lung Carcinoma	Lung	SIDM00769	Adherent	MSS	True	True	True	False	True	True	Lung Adenocarcinoma	Unknown	Female	Unknown	Unknown	ACH-000733	687807	NCIH1838_LUNG
NCI-H1568	Non-Small Cell Lung Carcinoma	Lung	SIDM00750	Adherent	MSS	True	True	True	True	True	True	Lung Adenocarcinoma	Lymph node	Female	White	Unknown	ACH-000869	1298348	NCIH1568_LUNG
RERF-LC-KJ	Non-Small Cell Lung Carcinoma	Lung	SIDM00356	Unknown	MSS	True	True	True	False	True	True	Lung Adenocarcinoma	Unknown	Male	Unknown	Unknown	ACH-000482	1298537	RERFLCKJ_LUNG
NCI-H1770	Non-Small Cell Lung Carcinoma	Lung	SIDM00737	Suspension	MSS	True	True	True	False	True	True	Non-Small Cell Lung Carcinoma	Lymph node	Male	White	Unknown	ACH-001362	687804	NCIH1770_LUNG
A704	Kidney Carcinoma	Kidney	SIDM00849	Unknown	MSS	True	True	True	False	True	True	Renal Cell Carcinoma	Unknown	Male	Unknown	Unknown	ACH-000429	910920	A704_KIDNEY
HCC1428	Breast Carcinoma	Breast	SIDM00881	Adherent	MSS	True	True	True	False	True	True	Breast Adenocarcinoma	Pleural effusion	Female	White	Unknown	ACH-000352	1290905	HCC1428_BREAST
LB2241-RCC	Kidney Carcinoma	Kidney	SIDM00186	Unknown	MSS	True	True	True	False	True	True	Renal Cell Carcinoma	Unknown	Male	Unknown	Unknown	ACH-002151	753578	LB2241RCC_KIDNEY
SK-MEL-30	Melanoma	Skin	SIDM00392	Adherent	MSS	True	True	True	False	True	True	Cutaneous Melanoma	Unknown	Male	White	Unknown	ACH-000810	909726	SKMEL30_SKIN
OV-7	Ovarian Carcinoma	Ovary	SIDM00474	Adherent	MSS	True	True	True	False	True	True	Ovarian Carcinoma	Ovary	Female	Unknown	Unknown	ACH-000688	1480360	OV7_OVARY
HCC1599	Breast Carcinoma	Breast	SIDM00877	Suspension	MSS	True	True	True	False	True	True	Ductal Breast Carcinoma	Mammary gland/duct	Female	White	Unknown	ACH-000196	749713	HCC1599_BREAST
Farage	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00859	Suspension	MSS	True	True	True	False	True	True	Diffuse Large B-Cell Lymphoma	Lymph node	Female	White	Unknown	ACH-001498	1297449	FARAGE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
A3-KAW	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM00495	Suspension	MSS	True	True	True	False	True	True	Diffuse Large B-Cell Lymphoma	Ascites	Female	East Asian	Unknown	ACH-000697	910935	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KARPAS-45	T-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM01007	Suspension	MSS	True	True	True	False	True	True	Childhood T Acute Lymphoblastic Leukemia	Unknown	Male	Unknown	Unknown	ACH-002256	907272	KARPAS45_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
IGROV-1	Ovarian Carcinoma	Ovary	SIDM00151	Unknown	MSI	True	True	True	True	True	True	Ovarian Endometrioid Adenocarcinoma	Unknown	Female	Unknown	Unknown	ACH-000966	905968	IGROV1_OVARY
MDA-MB-361	Breast Carcinoma	Breast	SIDM00528	Adherent	MSS	True	True	True	True	True	True	Breast Adenocarcinoma	Brain	Female	White	Unknown	ACH-000934	908121	MDAMB361_BREAST
GRANTA-519	B-Cell Non-Hodgkin's Lymphoma	Haematopoietic and Lymphoid	SIDM01058	Suspension	MSS	True	True	True	False	False	True	Mantle Cell Lymphoma	Peripheral Blood	Female	White	Unknown	ACH-000073	1303897	GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MHH-CALL-2	B-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM00331	Suspension	MSS	True	True	True	False	True	True	Childhood Precursor B Lymphoblastic Leukemia	Peripheral blood	Female	White	Unknown	ACH-000020	908132	MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
U251	Glioma	Central Nervous System	SIDM00111	Adherent	MSS	True	True	True	True	True	True	Astrocytoma	Unknown	Unknown	Unknown	Unknown	ACH-000232	905983	U251MG_CENTRAL_NERVOUS_SYSTEM
HCC1937	Breast Carcinoma	Breast	SIDM00874	Semi-Adherent	MSS	True	True	True	True	True	True	Ductal Breast Carcinoma	Mammary gland/duct	Female	White	Unknown	ACH-000223	749714	HCC1937_BREAST
SW780	Bladder Carcinoma	Bladder	SIDM01160	Adherent	MSS	True	True	True	False	True	True	Bladder Carcinoma	Urinary Bladder	Female	White	Unknown	ACH-000384	687457	SW780_URINARY_TRACT
LN-229	Glioblastoma	Central Nervous System	SIDM00684	Adherent	MSS	True	True	True	True	True	True	Glioblastoma	Right frontal parieto-occipital cortex	Female	White	Unknown	ACH-000595	1240169	LN229_CENTRAL_NERVOUS_SYSTEM
BICR22	Oral Cavity Carcinoma	Head and Neck	SIDM00485	Adherent	MSS	True	True	True	True	False	True	Tongue Squamous Cell Carcinoma	Lymph node	Male	White	Unknown	ACH-000794	1240121	BICR22_UPPER_AERODIGESTIVE_TRACT
DJM-1	Other Solid Carcinomas	Skin	SIDM00281	Adherent	MSS	True	True	True	False	True	True	Skin Squamous Cell Carcinoma	Unknown	Female	East Asian	Unknown	ACH-002100	906841	DJM1_SKIN
LB1047-RCC	Kidney Carcinoma	Kidney	SIDM00187	Unknown	MSI	True	True	True	True	True	True	Renal Cell Carcinoma	Unknown	Female	Unknown	Unknown	ACH-002150	753577	LB1047RCC_KIDNEY
P31-FUJ	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM00363	Unknown	MSI	True	True	True	False	True	True	Acute Myeloid Leukemia	Blood	Unknown	East Asian	Unknown	ACH-000770	909253	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
RCH-ACV	B-Lymphoblastic Leukemia	Haematopoietic and Lymphoid	SIDM00449	Suspension	MSS	True	True	True	False	True	True	B Acute Lymphoblastic Leukemia	Bone marrow	Female	Unknown	Unknown	ACH-000922	1330994	RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HCC2218	Breast Carcinoma	Breast	SIDM00772	Suspension	MSS	True	True	True	False	True	True	Ductal Breast Carcinoma	Mammary gland/duct	Female	White	Unknown	ACH-000755	749716	HCC2218_BREAST
IM-9	Non-Cancerous	Haematopoietic and Lymphoid	SIDM00632	Suspension	MSS	True	True	True	True	True	True	Non-Cancerous	Peripheral Blood	Female	Unknown	Unknown	ACH-002247	753563	IM9_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
T24	Bladder Carcinoma	Bladder	SIDM01184	Adherent	MSS	True	True	True	False	True	True	Bladder Carcinoma	Urinary Bladder	Female	White	Unknown	ACH-000018	724812	T24_URINARY_TRACT
HCC-366	Other Solid Carcinomas	Lung	SIDM01070	Adherent	MSS	True	True	True	False	True	False	Adenosquamous Lung Carcinoma	Unknown	Female	Unknown	Unknown	ACH-000840	1240144	HCC366_LUNG
MEL-HO	Melanoma	Skin	SIDM00337	Adherent	MSS	True	True	True	False	True	True	Melanoma	Unknown	Female	Unknown	Unknown	ACH-000450	908124	MELHO_SKIN
IPC-298	Melanoma	Skin	SIDM01059	Adherent	MSS	True	True	True	False	True	True	Cutaneous Melanoma	Skin	Female	Unknown	Unknown	ACH-000915	907171	IPC298_SKIN
KNS-42	Glioblastoma	Central Nervous System	SIDM00607	Unknown	MSS	True	True	True	True	True	True	Glioblastoma	Unknown	Male	Unknown	Unknown	ACH-000622	907282	KNS42_CENTRAL_NERVOUS_SYSTEM
HuH-7	Hepatocellular Carcinoma	Liver	SIDM00585	Unknown	MSS	True	True	True	False	True	True	Hepatocellular Carcinoma	Unknown	Male	East Asian	Unknown	ACH-000480	907071	HUH7_LIVER
TE-10	Esophageal Squamous Cell Carcinoma	Esophagus	SIDM00349	Unknown	MSS	True	True	True	True	True	True	Esophageal Squamous Cell Carcinoma	Unknown	Male	Unknown	Unknown	ACH-000318	753622	TE10_OESOPHAGUS
COLO-800	Melanoma	Skin	SIDM00515	Adherent	MSS	True	True	True	False	True	True	Melanoma	Unknown	Male	Unknown	Unknown	ACH-000401	906813	COLO800_SKIN
NCI-H1693	Non-Small Cell Lung Carcinoma	Lung	SIDM00742	Adherent	MSS	True	True	True	False	True	True	Lung Adenocarcinoma	Lymph node	Female	White	Unknown	ACH-000021	687802	NCIH1693_LUNG
JHOS-4	Ovarian Carcinoma	Ovary	SIDM00303	Adherent	MSS	True	True	True	True	True	True	High Grade Ovarian Serous Adenocarcinoma	Unknown	Female	East Asian	Unknown	ACH-000584	1480359	JHOS4_OVARY
JHOS-2	Ovarian Carcinoma	Ovary	SIDM00305	Adherent	MSS	True	True	True	True	True	True	High Grade Ovarian Serous Adenocarcinoma	Unknown	Female	East Asian	Unknown	ACH-000132	1479995	JHOS2_OVARY
PE-CA-PJ15	Oral Cavity Carcinoma	Head and Neck	SIDM00473	Adherent		True	True	False	True	False	True	Tongue Squamous Cell Carcinoma	Tongue	Male	Unknown	Unknown	ACH-000619	1240207	PECAPJ15_UPPER_AERODIGESTIVE_TRACT
H3255	Non-Small Cell Lung Carcinoma	Lung	SIDM00046	Unknown	MSS	True	True	True	False	True	True	Lung Adenocarcinoma	Unknown	Unknown	Unknown	Unknown		1247873	
NCC010	Kidney Carcinoma	Kidney	SIDM00231	Unknown	MSS	True	True	True	False	True	True	Renal Cell Carcinoma	Unknown	Unknown	Unknown	Unknown	ACH-002167	1509073	NCC010_KIDNEY
Hs-939-T	Melanoma	Skin	SIDM00663	Adherent	MSS	True	True	True	False	True	True	Melanoma	Unknown	Female	White	Unknown	ACH-000814	1298144	HS939T_SKIN
Hep3B2-1-7	Hepatocellular Carcinoma	Liver	SIDM00672	Adherent	MSS	True	True	True	False	True	True	Hepatocellular Carcinoma	Liver	Male	Black	Unknown	ACH-000625	1240147	HEP3B217_LIVER
NB1	Neuroblastoma	Peripheral Nervous System	SIDM00578	Unknown	MSS	True	True	True	False	True	True	Neuroblastoma	Cervical lymph node	Male	Unknown	Unknown	ACH-000804	949179	NB1_AUTONOMIC_GANGLIA
MMAc-SF	Melanoma	Skin	SIDM01242	Adherent	MSS	True	True	True	False	True	True	Melanoma	Ascites	Female	East Asian	Unknown	ACH-002162	925339	MMACSF_SKIN
NMC-G1	Glioma	Central Nervous System	SIDM00575	Unknown	MSS	True	True	True	True	True	True	Astrocytoma	Unknown	Unknown	Unknown	Unknown	ACH-000200	908449	NMCG1_CENTRAL_NERVOUS_SYSTEM
THP-1	Acute Myeloid Leukemia	Haematopoietic and Lymphoid	SIDM01172	Suspension	MSS	True	True	True	False	True	True	Childhood Acute Differentiated Monocytic Leukemia	Peripheral blood	Male	Unknown	Unknown	ACH-000146	909771	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
JHU-011	Head and Neck Carcinoma	Head and Neck	SIDM00128	Unknown	MSS	True	True	True	True	True	True	Laryngeal Squamous Cell Carcinoma	Unknown	Unknown	Unknown	Unknown	ACH-002249	1240161	JHU011_UPPER_AERODIGESTIVE_TRACT
K2	Melanoma	Skin	SIDM00126	Unknown		False	True	True	False	True	True	Melanoma	Unknown	Unknown	Unknown	Unknown	ACH-002147	1298160	K2_SKIN
HCC1419	Breast Carcinoma	Breast	SIDM00882	Adherent	MSS	True	True	True	False	True	True	Ductal Breast Carcinoma	Mammary gland	Female	Other	Unknown	ACH-000277	907045	HCC1419_BREAST
SCH	Gastric Carcinoma	Stomach	SIDM00383	Unknown	MSS	True	True	True	True	True	True	Gastric Choriocarcinoma	Stomach	Male	Unknown	Unknown	ACH-002198	909711	SCH_STOMACH
Hs-746T	Gastric Carcinoma	Stomach	SIDM00665	Adherent	MSS	True	True	True	False	True	True	Gastric Adenocarcinoma	Left leg	Male	White	Unknown	ACH-000616	1240151	HS746T_STOMACH
NCI-H290	Mesothelioma	Lung	SIDM00518	Unknown	MSS	True	True	True	False	True	True	Malignant Pleural Mesothelioma	Unknown	Unknown	Unknown	Unknown		1240139	
HCC1569	Breast Carcinoma	Breast	SIDM00878	Semi-Adherent	MSI	True	True	True	False	True	True	Ductal Breast Carcinoma	Mammary gland	Female	Black	Unknown	ACH-000930	907046	HCC1569_BREAST
D-542MG	Glioblastoma	Central Nervous System	SIDM00207	Unknown	MSS	True	True	True	True	True	True	Glioblastoma	Unknown	Female	Unknown	Unknown	ACH-002230	753549	D542MG_CENTRAL_NERVOUS_SYSTEM
SW962	Other Solid Carcinomas	Vulva	SIDM01178	Adherent	MSS	True	True	True	False	True	True	Vulvar Carcinoma	Lymph node	Female	White	Unknown	ACH-002200	909758	SW962_VULVA
